                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0802,                 2.8023,                 1.3217,                0.46988,                0.66144,                0.65368,                0.53665,                0.74409,                 1.9225,                 1.1218,             0.00010983,             0.00010983,             0.00010983
                      2,                0.91124,                  1.829,                 1.2017,                0.61133,                0.71653,                0.74447,                0.59786,                0.85223,                 1.4632,                 1.1784,             0.00021865,             0.00021865,             0.00021865
                      3,                0.93085,                 1.7423,                 1.2241,                0.60714,                0.69231,                0.77858,                0.58808,                 1.0627,                 1.7195,                 1.3592,             0.00032526,             0.00032526,             0.00032526
                      4,                0.94638,                 1.6608,                 1.2162,                 0.7464,                0.58284,                0.72048,                0.56772,                0.87456,                 1.7377,                 1.1395,             0.00032311,             0.00032311,             0.00032311
                      5,                0.89378,                 1.5274,                 1.1775,                0.79347,                0.75148,                0.86757,                0.69175,                0.92012,                 1.0565,                  1.188,             0.00032311,             0.00032311,             0.00032311
                      6,                0.88853,                  1.448,                 1.1808,                0.75752,                0.75376,                0.87972,                0.68103,                0.90847,                  1.094,                   1.15,             0.00031981,             0.00031981,             0.00031981
                      7,                0.83465,                 1.3196,                 1.1407,                0.84098,                0.77704,                0.89531,                0.71991,                0.86641,                0.82491,                 1.0907,             0.00031652,             0.00031652,             0.00031652
                      8,                0.82401,                 1.2471,                 1.1314,                0.83152,                0.83947,                0.91029,                  0.722,                0.92489,                0.88717,                 1.1469,             0.00031322,             0.00031322,             0.00031322
                      9,                0.81781,                 1.2124,                 1.1294,                0.81199,                0.86867,                0.92969,                0.76947,                0.79741,                0.73616,                 1.0532,             0.00030992,             0.00030992,             0.00030992
                     10,                 0.8052,                 1.1666,                 1.1223,                0.90464,                0.83148,                0.92099,                0.75444,                0.81906,                0.80084,                 1.0689,             0.00030663,             0.00030663,             0.00030663
                     11,                0.77698,                 1.0946,                 1.1083,                0.90518,                  0.845,                0.92936,                0.77866,                0.73197,                0.63823,                 1.0129,             0.00030333,             0.00030333,             0.00030333
                     12,                0.78309,                 1.0817,                 1.1085,                0.87133,                0.87726,                 0.9434,                0.78119,                0.78859,                0.66035,                 1.0527,             0.00030003,             0.00030003,             0.00030003
                     13,                0.76189,                 1.0436,                 1.0993,                0.88345,                0.82826,                0.93001,                0.76793,                0.81492,                0.71178,                 1.0753,             0.00029674,             0.00029674,             0.00029674
                     14,                0.75772,                0.99877,                 1.0951,                0.84375,                 0.8431,                0.92376,                0.73809,                0.92107,                0.78082,                 1.1164,             0.00029344,             0.00029344,             0.00029344
                     15,                0.75052,                  1.008,                 1.1069,                 0.8685,                0.85909,                0.93621,                0.73367,                0.90739,                0.68257,                 1.1159,             0.00029014,             0.00029014,             0.00029014
                     16,                0.74904,                 0.9537,                 1.0961,                0.86817,                0.82793,                0.93224,                0.78175,                0.74183,                0.72116,                 1.0149,             0.00028685,             0.00028685,             0.00028685
                     17,                0.73297,                0.93886,                 1.0931,                0.85989,                0.90784,                0.95319,                0.77896,                0.81776,                0.60697,                 1.0499,             0.00028355,             0.00028355,             0.00028355
                     18,                0.72877,                0.92652,                 1.0811,                0.89266,                  0.864,                0.92568,                0.74607,                0.85634,                0.69727,                  1.087,             0.00028025,             0.00028025,             0.00028025
                     19,                0.70558,                 0.9018,                 1.0683,                0.88752,                0.89968,                0.93045,                0.78146,                 0.7556,                0.59627,                 1.0198,             0.00027696,             0.00027696,             0.00027696
                     20,                0.71173,                 0.8848,                 1.0714,                0.90127,                   0.85,                0.92358,                0.77595,                0.72864,                0.64048,                 1.0025,             0.00027366,             0.00027366,             0.00027366
                     21,                0.70426,                0.84417,                 1.0739,                0.94771,                0.90566,                0.95879,                0.78987,                0.80768,                0.50246,                 1.0719,             0.00027036,             0.00027036,             0.00027036
                     22,                0.71635,                0.88272,                 1.0767,                0.89798,                 0.8995,                0.95097,                0.77019,                0.83519,                0.56682,                  1.061,             0.00026707,             0.00026707,             0.00026707
                     23,                 0.7089,                0.83433,                   1.07,                0.91851,                0.85698,                0.93375,                0.73291,                0.92473,                0.59674,                 1.1186,             0.00026377,             0.00026377,             0.00026377
                     24,                 0.6895,                0.81173,                  1.068,                0.89071,                0.86063,                  0.931,                0.78425,                0.70905,                0.61172,                 1.0017,             0.00026047,             0.00026047,             0.00026047
                     25,                0.69572,                0.79245,                   1.06,                0.92722,                0.89347,                 0.9566,                0.72793,                 1.0608,                0.51914,                 1.1919,             0.00025718,             0.00025718,             0.00025718
                     26,                0.66654,                0.75877,                 1.0514,                0.89644,                0.85579,                 0.9475,                 0.7871,                0.76613,                0.57254,                 1.0215,             0.00025388,             0.00025388,             0.00025388
                     27,                0.66579,                0.76382,                 1.0482,                0.89304,                0.89813,                0.96391,                0.77928,                0.83248,                0.54675,                 1.0449,             0.00025058,             0.00025058,             0.00025058
                     28,                0.65764,                0.73815,                 1.0429,                0.93547,                0.90879,                0.95066,                0.76685,                0.89587,                0.54974,                 1.1145,             0.00024729,             0.00024729,             0.00024729
                     29,                0.66559,                0.75317,                 1.0532,                 0.8636,                0.85729,                0.92481,                0.74768,                0.84877,                0.66727,                 1.0818,             0.00024399,             0.00024399,             0.00024399
                     30,                0.66041,                0.71759,                 1.0489,                0.92366,                0.89049,                0.95412,                0.76159,                0.88591,                0.54001,                 1.0707,             0.00024069,             0.00024069,             0.00024069
                     31,                0.66542,                0.72333,                 1.0487,                0.90888,                0.91508,                0.96471,                0.80384,                0.75061,                0.50284,                 1.0433,              0.0002374,              0.0002374,              0.0002374
                     32,                0.65068,                0.70075,                 1.0365,                0.87263,                0.92665,                0.95206,                0.79082,                0.75752,                0.49461,                 1.0168,              0.0002341,              0.0002341,              0.0002341
                     33,                0.65069,                0.68943,                  1.049,                 0.9116,                 0.8492,                0.95262,                0.75085,                0.95469,                0.56103,                 1.1502,              0.0002308,              0.0002308,              0.0002308
                     34,                0.65403,                0.69695,                 1.0392,                0.89856,                0.85551,                0.93373,                0.79015,                0.71264,                0.59203,                 1.0133,             0.00022751,             0.00022751,             0.00022751
                     35,                0.64408,                 0.6705,                 1.0342,                0.93826,                0.93921,                0.95847,                0.79276,                 0.8141,                0.48395,                 1.0583,             0.00022421,             0.00022421,             0.00022421
                     36,                 0.6319,                 0.6706,                 1.0298,                0.90085,                0.86363,                0.94455,                0.79874,                0.73379,                0.53604,                  1.003,             0.00022091,             0.00022091,             0.00022091
                     37,                0.63313,                0.65078,                 1.0298,                 0.9382,                0.92864,                0.96565,                0.78565,                0.83061,                0.46145,                 1.0655,             0.00021762,             0.00021762,             0.00021762
                     38,                0.62087,                0.64939,                  1.024,                0.92687,                 0.9141,                0.95944,                0.80843,                0.74279,                 0.4777,                 1.0206,             0.00021432,             0.00021432,             0.00021432
