                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6359,                   1.78,                 1.1229,                0.68815,                0.71231,                0.79706,                0.67092,                0.63678,                 1.1999,                 1.0505,             0.00011071,             0.00011071,             0.00011071
                      2,                0.58035,                 1.1874,                 1.0782,                0.77488,                0.72181,                0.82743,                0.67013,                0.70608,                0.97703,                 1.0785,             0.00021732,             0.00021732,             0.00021732
                      3,                0.57846,                 1.1061,                 1.0684,                0.80329,                0.83369,                0.88179,                 0.7148,                0.75528,                0.86991,                   1.13,             0.00031954,             0.00031954,             0.00031954
                      4,                0.55453,                 1.0053,                  1.055,                0.84677,                0.82673,                0.91202,                0.75645,                0.67725,                0.66012,                 1.0703,             0.00031322,             0.00031322,             0.00031322
                      5,                 0.5252,                0.91782,                 1.0381,                0.90357,                0.81388,                0.92038,                0.75322,                0.74246,                0.66106,                 1.0864,             0.00031322,             0.00031322,             0.00031322
                      6,                0.49529,                0.82049,                 1.0226,                0.89584,                0.89899,                0.95776,                0.83214,                0.56322,                0.49131,                0.99933,             0.00030663,             0.00030663,             0.00030663
                      7,                0.47811,                0.77557,                 1.0142,                0.91683,                0.88339,                0.95026,                0.80347,                 0.6226,                 0.5266,                 1.0193,             0.00030003,             0.00030003,             0.00030003
                      8,                0.46474,                0.72269,                  1.007,                0.87389,                 0.9032,                0.94185,                0.79695,                0.61579,                0.56231,                 1.0098,             0.00029344,             0.00029344,             0.00029344
                      9,                0.44772,                0.68759,                0.99828,                0.91497,                0.88332,                0.96083,                0.82465,                0.59041,                0.46851,                 1.0105,             0.00028685,             0.00028685,             0.00028685
                     10,                0.43513,                0.64898,                0.98831,                0.93044,                0.94156,                0.97573,                0.84658,                0.56693,                0.41555,                0.99061,             0.00028025,             0.00028025,             0.00028025
                     11,                0.42428,                0.61321,                0.98428,                0.91107,                 0.9286,                 0.9664,                 0.8212,                0.61567,                 0.4473,                 1.0127,             0.00027366,             0.00027366,             0.00027366
                     12,                0.42027,                0.60308,                0.98377,                0.91965,                0.92402,                0.95819,                0.82516,                0.59911,                0.44062,                 1.0042,             0.00026707,             0.00026707,             0.00026707
